Australia,p90p100,1995,0.556
Australia,p90p100,1996,0.5559
Australia,p90p100,1997,0.5561
Australia,p90p100,1998,0.5562
Australia,p90p100,1999,0.5575
Australia,p90p100,2000,0.5582
Australia,p90p100,2001,0.5566
Australia,p90p100,2002,0.5575
Australia,p90p100,2003,0.5576
Australia,p90p100,2004,0.5581
Australia,p90p100,2005,0.5588
Australia,p90p100,2006,0.5612
Australia,p90p100,2007,0.5591
Australia,p90p100,2008,0.5575
Australia,p90p100,2009,0.5588
Australia,p90p100,2010,0.5589
Australia,p90p100,2011,0.5593
Australia,p90p100,2012,0.5629
Australia,p90p100,2013,0.5655
Australia,p90p100,2014,0.5656
Australia,p90p100,2015,0.5635
Australia,p90p100,2016,0.5616
Australia,p90p100,2017,0.5655
Australia,p90p100,2018,0.5672
Australia,p90p100,2019,0.5667
Australia,p90p100,2020,0.565
Australia,p90p100,2021,0.5706
Australia,p0p50,1995,0.0517
Australia,p0p50,1996,0.0517
Australia,p0p50,1997,0.0517
Australia,p0p50,1998,0.0517
Australia,p0p50,1999,0.0515
Australia,p0p50,2000,0.0514
Australia,p0p50,2001,0.0516
Australia,p0p50,2002,0.0515
Australia,p0p50,2003,0.0515
Australia,p0p50,2004,0.0514
Australia,p0p50,2005,0.0513
Australia,p0p50,2006,0.051
Australia,p0p50,2007,0.0513
Australia,p0p50,2008,0.0515
Australia,p0p50,2009,0.0513
Australia,p0p50,2010,0.0513
Australia,p0p50,2011,0.0513
Australia,p0p50,2012,0.0508
Australia,p0p50,2013,0.0505
Australia,p0p50,2014,0.0505
Australia,p0p50,2015,0.0507
Australia,p0p50,2016,0.051
Australia,p0p50,2017,0.0505
Australia,p0p50,2018,0.0503
Australia,p0p50,2019,0.0504
Australia,p0p50,2020,0.0506
Australia,p0p50,2021,0.0499
Australia,p99p100,1995,0.2195
Australia,p99p100,1996,0.2194
Australia,p99p100,1997,0.2196
Australia,p99p100,1998,0.2197
Australia,p99p100,1999,0.2207
Australia,p99p100,2000,0.2214
Australia,p99p100,2001,0.22
Australia,p99p100,2002,0.2208
Australia,p99p100,2003,0.2209
Australia,p99p100,2004,0.2213
Australia,p99p100,2005,0.2219
Australia,p99p100,2006,0.2239
Australia,p99p100,2007,0.2221
Australia,p99p100,2008,0.2211
Australia,p99p100,2009,0.2219
Australia,p99p100,2010,0.222
Australia,p99p100,2011,0.2235
Australia,p99p100,2012,0.2284
Australia,p99p100,2013,0.231
Australia,p99p100,2014,0.2316
Australia,p99p100,2015,0.2276
Australia,p99p100,2016,0.2248
Australia,p99p100,2017,0.2299
Australia,p99p100,2018,0.2327
Australia,p99p100,2019,0.232
Australia,p99p100,2020,0.229
Australia,p99p100,2021,0.2389
Austria,p90p100,1995,0.6045
Austria,p90p100,1996,0.605
Austria,p90p100,1997,0.6068
Austria,p90p100,1998,0.6085
Austria,p90p100,1999,0.6061
Austria,p90p100,2000,0.6079
Austria,p90p100,2001,0.6053
Austria,p90p100,2002,0.608
Austria,p90p100,2003,0.6114
Austria,p90p100,2004,0.6094
Austria,p90p100,2005,0.6139
Austria,p90p100,2006,0.6168
Austria,p90p100,2007,0.6132
Austria,p90p100,2008,0.6153
Austria,p90p100,2009,0.6113
Austria,p90p100,2010,0.6127
Austria,p90p100,2011,0.6088
Austria,p90p100,2012,0.6078
Austria,p90p100,2013,0.6063
Austria,p90p100,2014,0.6043
Austria,p90p100,2015,0.6072
Austria,p90p100,2016,0.6073
Austria,p90p100,2017,0.6124
Austria,p90p100,2018,0.6142
Austria,p90p100,2019,0.6142
Austria,p90p100,2020,0.6133
Austria,p90p100,2021,0.6185
Austria,p0p50,1995,0.0119
Austria,p0p50,1996,0.0119
Austria,p0p50,1997,0.0117
Austria,p0p50,1998,0.0114
Austria,p0p50,1999,0.012
Austria,p0p50,2000,0.0115
Austria,p0p50,2001,0.0118
Austria,p0p50,2002,0.0115
Austria,p0p50,2003,0.0111
Austria,p0p50,2004,0.0116
Austria,p0p50,2005,0.0112
Austria,p0p50,2006,0.0107
Austria,p0p50,2007,0.0112
Austria,p0p50,2008,0.0111
Austria,p0p50,2009,0.0115
Austria,p0p50,2010,0.0114
Austria,p0p50,2011,0.0148
Austria,p0p50,2012,0.0185
Austria,p0p50,2013,0.0232
Austria,p0p50,2014,0.0261
Austria,p0p50,2015,0.0268
Austria,p0p50,2016,0.0286
Austria,p0p50,2017,0.0315
Austria,p0p50,2018,0.0315
Austria,p0p50,2019,0.0314
Austria,p0p50,2020,0.0315
Austria,p0p50,2021,0.0311
Austria,p99p100,1995,0.2217
Austria,p99p100,1996,0.2222
Austria,p99p100,1997,0.2236
Austria,p99p100,1998,0.225
Austria,p99p100,1999,0.2258
Austria,p99p100,2000,0.2245
Austria,p99p100,2001,0.2224
Austria,p99p100,2002,0.2246
Austria,p99p100,2003,0.2279
Austria,p99p100,2004,0.2292
Austria,p99p100,2005,0.2344
Austria,p99p100,2006,0.2359
Austria,p99p100,2007,0.2333
Austria,p99p100,2008,0.2371
Austria,p99p100,2009,0.2326
Austria,p99p100,2010,0.2338
Austria,p99p100,2011,0.2501
Austria,p99p100,2012,0.2662
Austria,p99p100,2013,0.2807
Austria,p99p100,2014,0.2907
Austria,p99p100,2015,0.2904
Austria,p99p100,2016,0.2876
Austria,p99p100,2017,0.294
Austria,p99p100,2018,0.2985
Austria,p99p100,2019,0.2984
Austria,p99p100,2020,0.2967
Austria,p99p100,2021,0.3061
Belgium,p90p100,1995,0.5263
Belgium,p90p100,1996,0.5271
Belgium,p90p100,1997,0.5268
